Feature-Set;NSHAP-Value
mnth,temp,atemp,windspeed;-39.7949
mnth,temp,hum,windspeed;31.2089
mnth,atemp,hum,windspeed;3.5231
holiday,weekday,workingday,weathersit;-0.0000
holiday,weekday,workingday,temp;-0.0000
holiday,weekday,workingday,atemp;-0.0000
holiday,weekday,workingday,hum;-0.0000
holiday,weekday,workingday,windspeed;-0.0000
holiday,weekday,weathersit,temp;-0.0375
holiday,weekday,weathersit,atemp;-0.0169
holiday,weekday,weathersit,hum;-0.0087
holiday,weekday,weathersit,windspeed;-0.0194
holiday,weekday,temp,atemp;-0.3500
holiday,weekday,temp,hum;-0.3232
holiday,weekday,temp,windspeed;-0.0774
holiday,weekday,atemp,hum;-0.1622
holiday,weekday,atemp,windspeed;-0.0522
holiday,weekday,hum,windspeed;0.1391
holiday,workingday,weathersit,temp;-0.0000
holiday,workingday,weathersit,atemp;-0.0000
holiday,workingday,weathersit,hum;-0.0000
holiday,workingday,weathersit,windspeed;-0.0000
holiday,workingday,temp,atemp;-0.0000
holiday,workingday,temp,hum;-0.0000
holiday,workingday,temp,windspeed;-0.0000
holiday,workingday,atemp,hum;-0.0000
holiday,workingday,atemp,windspeed;-0.0000
holiday,workingday,hum,windspeed;-0.0000
holiday,weathersit,temp,atemp;0.0234
holiday,weathersit,temp,hum;-0.0364
holiday,weathersit,temp,windspeed;-0.0006
holiday,weathersit,atemp,hum;0.0123
holiday,weathersit,atemp,windspeed;0.0199
holiday,weathersit,hum,windspeed;0.0620
holiday,temp,atemp,hum;0.0877
holiday,temp,atemp,windspeed;0.2299
holiday,temp,hum,windspeed;0.4987
holiday,atemp,hum,windspeed;-0.0991
weekday,workingday,weathersit,temp;0.6950
weekday,workingday,weathersit,atemp;0.9138
weekday,workingday,weathersit,hum;0.2204
weekday,workingday,weathersit,windspeed;-0.1001
weekday,workingday,temp,atemp;1.1016
weekday,workingday,temp,hum;0.6127
weekday,workingday,temp,windspeed;3.6459
weekday,workingday,atemp,hum;0.6528
weekday,workingday,atemp,windspeed;1.7096
weekday,workingday,hum,windspeed;-0.9970
weekday,weathersit,temp,atemp;-2.9255
weekday,weathersit,temp,hum;-6.1366
weekday,weathersit,temp,windspeed;0.6509
weekday,weathersit,atemp,hum;-1.3176
weekday,weathersit,atemp,windspeed;-0.6795
weekday,weathersit,hum,windspeed;1.3931
weekday,temp,atemp,hum;8.5750
weekday,temp,atemp,windspeed;17.1612
weekday,temp,hum,windspeed;-5.9828
weekday,atemp,hum,windspeed;3.7566
workingday,weathersit,temp,atemp;0.8355
workingday,weathersit,temp,hum;-6.8396
workingday,weathersit,temp,windspeed;-0.9718
workingday,weathersit,atemp,hum;-0.5222
workingday,weathersit,atemp,windspeed;-0.9218
workingday,weathersit,hum,windspeed;1.8127
workingday,temp,atemp,hum;16.5726
workingday,temp,atemp,windspeed;2.1764
workingday,temp,hum,windspeed;11.6685
workingday,atemp,hum,windspeed;0.4750
weathersit,temp,atemp,hum;5.1244
weathersit,temp,atemp,windspeed;-3.9671
weathersit,temp,hum,windspeed;-6.3889
weathersit,atemp,hum,windspeed;-3.1492
temp,atemp,hum,windspeed;17.1712
season,mnth,holiday,weekday,workingday;-0.0000
season,mnth,holiday,weekday,weathersit;0.0059
season,mnth,holiday,weekday,temp;-0.0383
season,mnth,holiday,weekday,atemp;0.0788
season,mnth,holiday,weekday,hum;0.0446
